id, ubigeo, location_name
0, 010000, AMAZONAS
1, 020000, ANCASH
2, 030000, APURIMAC
3, 040000, AREQUIPA
4, 050000, AYACUCHO
5, 060000, CAJAMARCA
6, 240000, CALLAO
7, 070000, CUSCO
8, 080000, HUANCAVELICA
9, 090000, HUANUCO
10, 100000, ICA
11, 110000, JUNIN
12, 120000, LA LIBERTAD
13, 130000, LAMBAYEQUE
14, 140000, LIMA
15, 150000, LORETO
16, 160000, MADRE DE DIOS
17, 170000, MOQUEGUA
18, 180000, PASCO
19, 190000, PIURA
20, 200000, PUNO
21, 210000, SAN MARTIN
22, 220000, TACNA
23, 230000, TUMBES
24, 250000, UCAYALI
